Municipio;CRE
Abdon Batista;CRE CAMPOS NOVOS
Abelardo Luz;XAXERÊ
Agrolândia;RIO DO SUL
Agronômica;RIO DO SUL
Água Doce;JOAÇABA
Águas de Chapecó;PALMITOS
Águas Frias;CHAPECÓ
Águas Mornas;FLORIANÓPOLIS
Alfredo Wagner;ITUPORANGA
Alto Bela Vista;CONCÓRDIA
Anchieta;DIONÍSIO CERQUEIRA
Angelina;FLORIANÓPOLIS
Anita Garibaldi;LAGES
Anitápolis;FLORIANÓPOLIS
Antônio Carlos;FLORIANÓPOLIS
Apiúna;IBIRAMA
Arabutã;SEARA
Araquari;JOINVILLE
Armazém;BRAÇO DO NORTE
Arroio Trinta;VIDEIRA
Arvoredo;SEARA
Ascurra;TIMBÓ
Atalanta;ITUPORANGA
Aurora;ITUPORANGA
Balneário Arroio do Silva;ARARANGUÁ
Balneário Barra do Sul;JOINVILLE
Balneário Camboriú;ITAJAÍ
Balneário Gaivota;ARARANGUÁ
Balneário Piçarras;ITAJAÍ
Balneário Rincão;CRICIUMA
Bandeirante;SÃO MIGUEL D'OESTE
Barra Bonita;SÃO MIGUEL D'OESTE
Barra Velha;JOINVILLE
Bela Vista do Toldo;CANOINHAS
Belmonte;SÃO MIGUEL D'OESTE
Benedito Novo;TIMBÓ
Biguaçu;FLORIANÓPOLIS
Bocaina do Sul;LAGES
Bom Jardim da Serra;SÃO JOAQUIM
Bom Jesus;XAXERÊ
Bom Jesus do Oeste;MARAVILHA
Bom Retiro;SÃO JOAQUIM
Bombinhas;ITAJAÍ
Botuverá;BRUSQUE
Braço do Trombudo;RIO DO SUL
Brunópolis;CAMPOS NOVOS
Caibi;PALMITOS
Calmon;CAÇADOR
Camboriú;ITAJAÍ
Campo Alegre;MAFRA
Campo Belo do Sul;LAGES
Campo Erê;SÃO LOURENÇO D'OESTE
Canelinha;BRUSQUE
Capão Alto;LAGES
Capinzal;JOAÇABA
Capivari de Baixo;TUBARÃO
Catanduvas;JOAÇABA
Caxambu do Sul;CHAPECÓ
Celso Ramos;CAMPOS NOVOS
Cerro Negro;LAGES
Chapadão do Lageado;ITUPORANGA
Cocal do Sul;CRICIUMA
Cordilheira Alta;CHAPECÓ
Coronel Freitas;CHAPECÓ
Coronel Martins;SÃO LOURENÇO D'OESTE
Correia Pinto;LAGES
Corupá;JARAGUÁ DO SUL
Cunha Porã;PALMITOS
Cunhataí;PALMITOS
Descanso;SÃO MIGUEL D'OESTE
Dona Emma;IBIRAMA
Doutor Pedrinho;TIMBÓ
Entre Rios;XAXERÊ
Ermo;ARARANGUÁ
Erval Velho;JOAÇABA
Faxinal dos Guedes;XAXERÊ
Flor do Sertão;MARAVILHA
Florianópolis;FLORIANÓPOLIS
Formosa do Sul;QUILOMBO
Forquilhinha;CRICIUMA
Fraiburgo;VIDEIRA
Frei Rogério;CURITIBANOS
Galvão;SÃO LOURENÇO D'OESTE
Garopaba;LAGUNA
Garuva;JOINVILLE
Gaspar;BLUMENAU
Governador Celso Ramos;FLORIANÓPOLIS
Grão Pará;BRAÇO DO NORTE
Gravatal;TUBARÃO
Guabiruba;BRUSQUE
Guaraciaba;SÃO MIGUEL D'OESTE
Guaramirim;JARAGUÁ DO SUL
Guarujá do Sul;DIONÍSIO CERQUEIRA
Guatambu;CHAPECÓ
Herval d'Oeste;JOAÇABA
Ibiam;CAMPOS NOVOS
Ibicaré;JOAÇABA
Içara;CRICIUMA
Ilhota;BLUMENAU
Imaruí;LAGUNA
Imbituba;LAGUNA
Imbuia;ITUPORANGA
Indaial;TIMBÓ
Iomerê;VIDEIRA
Ipira;CONCÓRDIA
Iporã do Oeste;ITAPIRANGA
Ipuaçu;XAXERÊ
Ipumirim;SEARA
Iraceminha;MARAVILHA
Irani;CONCÓRDIA
Irati;QUILOMBO
Irineópolis;CANOINHAS
Itá;SEARA
Itaiópolis;MAFRA
Itapema;ITAJAÍ
Itapoá;JOINVILLE
Jaborá;JOAÇABA
Jacinto Machado;ARARANGUÁ
Jaguaruna;TUBARÃO
Jardinópolis;QUILOMBO
José Boiteux;IBIRAMA
Jupiá;SÃO LOURENÇO D'OESTE
Lacerdópolis;JOAÇABA
Lajeado Grande;XAXERÊ
Laurentino;RIO DO SUL
Lauro Müller;CRICIUMA
Lebon Régis;CAÇADOR
Leoberto Leal;ITUPORANGA
Lindóia do Sul;SEARA
Lontras;IBIRAMA
Luiz Alves;BLUMENAU
Luzerna;JOAÇABA
Macieira;CAÇADOR
Major Gercino;BRUSQUE
Major Vieira;CANOINHAS
Maracajá;ARARANGUÁ
Marema;XAXERÊ
Massaranduba;JARAGUÁ DO SUL
Matos Costa;CAÇADOR
Meleiro;ARARANGUÁ
Mirim Doce;TAIÓ
Modelo;MARAVILHA
Mondai;PALMITOS
Monte Carlo;CAMPOS NOVOS
Monte Castelo;MAFRA
Morro do Fumaça;CRICIUMA
Morro Grande;ARARANGUÁ
Navegantes;ITAJAÍ
Nova Erechim;CHAPECÓ
Nova Itaberaba;CHAPECÓ
Nova Trento;BRUSQUE
Nova Veneza;CRICIUMA
Novo Horizonte;SÃO LOURENÇO D'OESTE
Orleans;CRICIUMA
Otacílio Costa;LAGES
Ouro;JOAÇABA
Ouro Verde;XAXERÊ
Painel;LAGES
Palhoça;FLORIANÓPOLIS
Palma Sola;DIONÍSIO CERQUEIRA
Palmeira;LAGES
Papanduva;MAFRA
Paraíso;SÃO MIGUEL D'OESTE
Passo de Torres;ARARANGUÁ
Passos Maia;XAXERÊ
Paulo Lopes;LAGUNA
Pedras Grandes;TUBARÃO
Penha;ITAJAÍ
Peritiba;CONCÓRDIA
Pescaria Brava;LAGUNA
Petrolândia;ITUPORANGA
Pinhalzinho;MARAVILHA
Pinheiro Preto;VIDEIRA
Piratuba;CONCÓRDIA
Planalto Alegre;CHAPECÓ
Pomerode;BLUMENAU
Ponte Alta;LAGES
Ponte Alta do Norte;CURITIBANOS
Ponte Serrada;XAXERÊ
Porto Belo;ITAJAÍ
Porto União;CANOINHAS
Pouso Redondo;TAIÓ
Praia Grande;ARARANGUÁ
Praial;SEARA
Presidente Castello Branco;CONCÓRDIA
Presidente Getúlio;IBIRAMA
Presidente Nereu;IBIRAMA
Princesa;DIONÍSIO CERQUEIRA
Rancho Queimado;FLORIANÓPOLIS
Rio das Antas;CAÇADOR
Rio do Campo;TAIÓ
Rio do Oeste;RIO DO SUL
Rio dos Cedros;TIMBÓ
Rio Fortuna;BRAÇO DO NORTE
Rio Negrinho;MAFRA
